,species,sex,age,locality,elevation,elev_cat,lat,lon,tHbcorr
608,Troglodytes aedon,male,0,Carampoma,3981,h,-11.62778333,-76.43411667,19.7
609,Troglodytes aedon,female,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,16.7
610,Zonotrichia capensis,female,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,19
611,Zonotrichia capensis,female,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,16
612,Zonotrichia capensis,male,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,19.7
613,Troglodytes aedon,male,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,15.1
614,Zonotrichia capensis,female,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,17.6
615,Troglodytes aedon,female,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,16.8
616,Zonotrichia capensis,female,0,Carhuayumac,3750,h,-11.76188333,-76.54886667,16.8
630,Zonotrichia capensis,female,0,Cordillera Vilcanota,3835,h,-13.18808333,-72.23136667,17.4
631,Zonotrichia capensis,female,0,Cordillera Vilcanota,3835,h,-13.18808333,-72.23136667,19.5
632,Zonotrichia capensis,female,0,Cordillera Vilcanota,3835,h,-13.18808333,-72.23136667,19.4
634,Zonotrichia capensis,female,0,Macate,3840,h,-8.75236,-78.03402,17.6
637,Zonotrichia capensis,male,0,San Pedro de Casta - Potago,3910,h,-11.7636,-76.5425,19.9
638,Zonotrichia capensis,male,0,San Pedro de Casta - Potago,3936,h,-11.7677,-76.53461667,20.9
639,Zonotrichia capensis,male,0,Carampoma,3945,h,-11.62658333,-76.43398333,17
640,Zonotrichia capensis,male,0,Carampoma,3967,h,-11.62798333,-76.43485,20.3
642,Troglodytes aedon,male,0,San Pedro de Casta,4123,h,-11.76821667,-76.5305,17.1
643,Zonotrichia capensis,male,0,Carampoma,3981,h,-11.62778333,-76.43411667,20.7
646,Zonotrichia capensis,female,0,Carampoma,3981,h,-11.62778333,-76.43411667,19.9
648,Zonotrichia capensis,male,0,Macate,3997,h,-8.75236,-78.03402,18.3
649,Zonotrichia capensis,female,0,Cordillera Vilcanota,4030,h,-13.18808333,-72.23136667,18.9
653,Zonotrichia capensis,female,0,San Pedro de Casta - Potago,4082,h,-11.76846667,-76.53325,17.2
654,Zonotrichia capensis,male,0,San Pedro de Casta - Potago,4088,h,-11.76856667,-76.53326667,18.2
655,Zonotrichia capensis,male,0,San Pedro de Casta - Potago,4088,h,-11.76856667,-76.53326667,19.1
656,Zonotrichia capensis,female,0,San Pedro de Casta - Potago,4088,h,-11.76856667,-76.53326667,19.5
657,Zonotrichia capensis,male,0,San Pedro de Casta - Potago,4108,h,-11.76893333,-76.53543333,16.9
660,Zonotrichia capensis,male,0,San Pedro de Casta - Potago,4108,h,-11.76893333,-76.53543333,16.8
661,Zonotrichia capensis,female,0,San Pedro de Casta - Potago,4131,h,-11.76938333,-76.53278333,19.3
663,Zonotrichia capensis,male,0,San Pedro de Casta,4142,h,-11.7673,-76.52476667,19.4
664,Zonotrichia capensis,female,0,San Pedro de Casta,4142,h,-11.7673,-76.52476667,21
666,Zonotrichia capensis,male,0,San Pedro de Casta - Potago,4150,h,-11.76958333,-76.53193333,19.7
669,Zonotrichia capensis,male,0,San Pedro de Casta - Potago,4150,h,-11.76958333,-76.53193333,20.6
671,Troglodytes aedon,male,0,Yanah1,4300,h,-13.19933333,-72.16,17.7
672,Troglodytes aedon,female,0,Yanah1,4300,h,-13.19933333,-72.16,18.5
675,Zonotrichia capensis,male,0,,4375,h,-14.06006667,-73.00775,20
678,Zonotrichia capensis,female,0,Yanah2,3380,h,-13.24933333,-72.16916667,18.8
681,Troglodytes aedon,male,1,Cordillera Vilcanota,4030,h,-13.18808333,-72.23136667,19.3
