,species,sex,age,locality,elevation,elev_cat,lat,lon,tHbcorr
94,Tachuris rubrigastra,female,0,Puerto Morin,0,l,-8.426666667,-78.90415,18.4
95,Tachuris rubrigastra,male,1,Puerto Morin,0,l,-8.4258,-78.90205,16.8
96,Tachuris rubrigastra,male,0,Ondores,4058,h,-11.05583333,-76.156,17.5
97,Tachuris rubrigastra,female,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,15.3
98,Tachuris rubrigastra,male,0,Ondores,4060,h,-11.05496667,-76.15656667,19.5
99,Tachuris rubrigastra,female,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,15.6
100,Tachuris rubrigastra,female,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15.4
102,Tachuris rubrigastra,female,0,Ondores,4050,h,-11.05541667,-76.15652778,19.5
103,Tachuris rubrigastra,male,0,Ondores,4058,h,-11.05583333,-76.156,16.4
104,Tachuris rubrigastra,male,1,Laguna Napique,4,l,-5.517133333,-80.70375,17.7
105,Tachuris rubrigastra,female,0,Viscachuni,3828,h,-15.80676667,-69.99171667,17.7
106,Tachuris rubrigastra,female,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,-1
107,Tachuris rubrigastra,female,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,14.5
108,Tachuris rubrigastra,female,0,Puerto Morin,0,l,-8.4258,-78.90205,20.1
111,Tachuris rubrigastra,male,0,Laguna Napique,3,l,-5.517133333,-80.70386667,20.1
112,Tachuris rubrigastra,male,1,Laguna Napique,6,l,-5.5171,-80.70386667,15.3
113,Tachuris rubrigastra,female,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,17.5
114,Tachuris rubrigastra,female,0,Puerto Morin,0,l,-8.4258,-78.90205,19.5
115,Tachuris rubrigastra,male,0,Estero Mantagua,8,l,-32.88493333,-71.50816667,15.4
116,Phleocryptes melanops,male,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15.6
117,Tachuris rubrigastra,male,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15.3
119,Tachuris rubrigastra,female,0,Puerto Morin,-1,l,-8.4258,-78.90205,18.3
120,Tachuris rubrigastra,female,0,Puerto Morin,0,l,-8.4258,-78.90205,21
121,Tachuris rubrigastra,male,0,Laguna Napique,6,l,-5.5171,-80.70386667,16.6
122,Tachuris rubrigastra,female,1,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15.2
123,Tachuris rubrigastra,female,0,Puerto Morin,-1,l,-8.4258,-78.90205,18
124,Tachuris rubrigastra,female,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,14.5
125,Tachuris rubrigastra,male,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,16.4
126,Tachuris rubrigastra,female,0,Ondores,4056,h,-11.0532,-76.1535,15.2
127,Tachuris rubrigastra,male,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15
128,Tachuris rubrigastra,male,0,Laguna Napique,4,l,-5.517133333,-80.70375,16.6
129,Tachuris rubrigastra,female,1,Laguna Napique,3,l,-5.51765,-80.70386667,17.9
130,Tachuris rubrigastra,male,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,16
131,Tachuris rubrigastra,male,0,Puerto Morin,0,l,-8.426666667,-78.90415,17.8
132,Tachuris rubrigastra,female,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,13.6
133,Tachuris rubrigastra,male,0,Viscachuni,3828,h,-15.80676667,-69.99171667,17.6
134,Tachuris rubrigastra,female,1,Laguna Napique,4,l,-5.5171,-80.70386667,16.6
135,Tachuris rubrigastra,male,1,Estero Mantagua,8,l,-32.88493333,-71.50816667,16
136,Tachuris rubrigastra,female,0,Puerto Morin,0,l,-8.426666667,-78.90415,16.9
137,Tachuris rubrigastra,male,1,Estero Mantagua,8,l,-32.88493333,-71.50816667,16.1
138,Tachuris rubrigastra,female,0,Estero Mantagua,8,l,-32.88493333,-71.50816667,15.9
139,Tachuris rubrigastra,male,0,Estero Mantagua,8,l,-32.88493333,-71.50816667,13.8
140,Tachuris rubrigastra,male,0,Estero Mantagua,8,l,-32.88493333,-71.50816667,14.4
141,Tachuris rubrigastra,female,1,Estero Mantagua,8,l,-32.88493333,-71.50816667,16.5
142,Tachuris rubrigastra,female,1,Estero Mantagua,8,l,-32.88493333,-71.50816667,15.2
156,Troglodytes aedon,female,1,Huachipa,366,l,-12.0084,-76.92101667,15.1
159,Troglodytes aedon,male,1,Bosque Cachil,2550,m,-7.403833333,-78.77978333,17.3
175,Troglodytes aedon,male,0,ca. 9.8 km N. of Olmos,129,l,-5.89566,-79.78486,15.8
178,Troglodytes aedon,male,0,ca. 9.8 km N. of Olmos,133,l,-5.89614,-79.78522,16.3
181,Troglodytes aedon,male,0,ca. 9.8 km N. of Olmos,143,l,-5.89858,-79.78517,14.2
196,Troglodytes aedon,,1,Huayup,1049,m,-9.908066667,-77.82136667,15.6
204,Troglodytes aedon,male,0,Huacapongo,309,l,-8.38685,-78.64518,14.5
209,Troglodytes aedon,male,1,Chosica,994,l,-11.92503333,-76.6514,13
216,Zonotrichia capensis,female,1,Irman,1761,m,-9.858316667,-77.74636667,15.5
221,Troglodytes aedon,male,1,Yanaparin,723,l,-9.958633333,-77.80736667,13.5
229,Zonotrichia capensis,female,1,Huayup,1060,m,-9.90845,-77.82143333,13.9
231,Troglodytes aedon,female,1,Carpish Tunel,2798,m,-9.7275,-76.10675,19.5
233,Troglodytes aedon,female,1,Irman,1761,m,-9.858316667,-77.74636667,14.3
234,Troglodytes aedon,male,1,Huachipa: El Huayco,352,l,-12.0089,-76.92323333,15.9
235,Troglodytes aedon,male,1,San Pedro de Casta - Potago,4056,h,-11.7677,-76.53461667,18.9
236,Zonotrichia capensis,male,1,Contunapampa,4237,h,-11.76863333,-76.52343333,20.4
237,Zonotrichia capensis,female,1,Caraz,3714,h,-9.100971667,-77.865555,16.2
242,Troglodytes aedon,male,1,Huachipa-Choclo,372,l,-12.00148333,-76.92081667,14.3
243,Zonotrichia capensis,male,1,Yanah4,3005,h,-13.2674,-72.18223333,17.8
244,Troglodytes aedon,male,0,Huachipa,366,l,-12.0084,-76.92101667,15.5
245,Troglodytes aedon,female,1,Nuevo Mundo,1503,m,-5.213066667,-78.6436,15.9
246,Zonotrichia capensis,female,1,Cordillera Vilcanota,3835,h,-13.18808333,-72.23136667,18.4
247,Zonotrichia capensis,male,1,Cordillera Vilcanota,4030,h,-13.18808333,-72.23136667,19
248,Zonotrichia capensis,female,1,Cordillera Vilcanota,4200,h,-13.18808333,-72.23136667,18.7
250,Zonotrichia capensis,male,1,Cordillera Vilcanota,3835,h,-13.18808333,-72.23136667,19.3
251,Zonotrichia capensis,male,1,Cordillera Vilcanota,3835,h,-13.18808333,-72.23136667,17.6
252,Zonotrichia capensis,male,1,Huachipa-Choclo,372,l,-12.00148333,-76.92081667,15.1
255,Zonotrichia capensis,male,1,Huachipa-Choclo,372,l,-12.00148333,-76.92081667,16.3
261,Zonotrichia capensis,male,1,Cordillera Vilcanota,3835,h,-13.18808333,-72.23136667,21.3
267,Zonotrichia capensis,female,1,Chontali,2530,m,-5.582083333,-79.16013333,14.3
270,Zonotrichia capensis,male,1,Huachipa-Choclo,372,l,-12.00148333,-76.92081667,16.9
272,Zonotrichia capensis,female,1,Bosque Cachil,2500,m,-7.398033333,-78.77826667,14.5
273,Zonotrichia capensis,male,1,Cordillera Vilcanota,3835,h,-13.18808333,-72.23136667,18.3
274,Zonotrichia capensis,female,1,San Pedro de Casta - Potago,4140,h,-11.76958333,-76.53193333,17.4
276,Zonotrichia capensis,male,1,Caraz,3714,h,-9.100971667,-77.865555,16.6
277,Zonotrichia capensis,female,1,San Pedro de Casta - Potago,4100,h,-11.76893333,-76.53543333,16.6
282,Zonotrichia capensis,male,1,Caraz,3714,h,-9.100971667,-77.865555,14.7
283,Zonotrichia capensis,unknown,1,Chontali,2530,m,-5.582083333,-79.16013333,16.8
284,Zonotrichia capensis,female,1,Caraz,3714,h,-9.100971667,-77.865555,14.6
285,Troglodytes aedon,male,0,Huayaringa,982,l,-11.92448333,-76.65196667,14
287,Zonotrichia capensis,female,1,Carhuayumac,3750,h,-11.76188333,-76.54886667,17.4
289,Zonotrichia capensis,male,1,Caraz,3714,h,-9.100971667,-77.865555,14.6
295,Zonotrichia capensis,female,0,Quebrada,1500,m,-12.6519,-72.3236,13.6
296,Troglodytes aedon,female,0,Quebrada,1500,m,-12.6519,-72.3236,14.1
297,Troglodytes aedon,male,0,Quebrada,1500,m,-12.6519,-72.3236,16.4
298,Zonotrichia capensis,male,0,Quebrada,1500,m,-12.6519,-72.3236,14.9
299,Troglodytes aedon,female,0,ca. 9.8 km N. of Olmos,133,l,-5.89614,-79.78522,15.3
302,Troglodytes aedon,male,0,Sianbal,322,l,-6.649433333,-76.0727,19.2
304,Troglodytes aedon,male,0,Huachipa-Choclo,351,l,-12.00148333,-76.92081667,15.3
305,Troglodytes aedon,female,0,Huachipa: El Huayco,352,l,-12.0089,-76.92323333,15.6
306,Troglodytes aedon,male,0,Huachipa: El Huayco,352,l,-12.0089,-76.92323333,16.2
308,Troglodytes aedon,male,0,Huachipa: El Huayco,352,l,-12.0089,-76.92323333,17.4
326,Troglodytes aedon,male,0,Rio Santa,357,l,-8.69485,-78.37861,13.6
328,Troglodytes aedon,female,0,Huachipa-Choclo,372,l,-12.00148333,-76.92081667,13.4
332,Troglodytes aedon,female,0,Mal Paso,375,l,-10.00681667,-77.88163333,13.8
333,Zonotrichia capensis,female,0,Yanaparin,723,l,-9.958633333,-77.80736667,15.6
346,Troglodytes aedon,,0,Irman,1761,m,-9.858316667,-77.74636667,15
347,Zonotrichia capensis,male,0,Irman,1761,m,-9.858316667,-77.74636667,16.3
351,Zonotrichia capensis,female,0,Fundo de Vequil Comunal,1646,m,-11.80176667,-76.6236,14.5
353,Troglodytes aedon,male,0,"PERU: Dpto. Amazonas, Prov. Utcubamba, Dist. Lonya Grande",2052,m,-6.104433333,-78.34158333,14.9
356,Troglodytes aedon,male,0,"PERU: Dpto. Amazonas, Prov. Utcubamba, Dist. Lonya Grande",2073,m,-6.1042,-78.34221667,16.6
368,Zonotrichia capensis,female,0,,1745,m,-9.858366667,-77.74566667,18.9
371,Zonotrichia capensis,female,0,,2168,m,-5.84,-79.50533333,15.2
372,Troglodytes aedon,male,0,,2215,m,-5.84,-79.50533333,14.9
373,Troglodytes aedon,female,0,,2215,m,-5.84,-79.50533333,13.4
375,Zonotrichia capensis,not recorded,0,SE1,2390,m,-11.74416667,-76.60883333,15
383,Zonotrichia capensis,female,0,Bosque Cachil,2550,m,-7.403833333,-78.77978333,14.7
385,Troglodytes aedon,male,0,Carhuaz,3439,h,-9.572116667,-77.84745,15.6
386,Troglodytes aedon,male,0,Puente Nununya,3548,h,-14.40833333,-73.0876,17.5
387,Zonotrichia capensis,male,0,Puente Nununya,3548,h,-14.40833333,-73.0876,18.2
388,Zonotrichia capensis,female,0,Puente Nununya,3573,h,-14.4076,-73.08771667,16.4
389,Troglodytes aedon,female,0,Puente Nununya,3573,h,-14.4076,-73.08771667,16.2
390,Zonotrichia capensis,male,0,Puente Nununya,3573,h,-14.4076,-73.08771667,16.6
394,Troglodytes aedon,male,0,Bosque Cachil,2500,m,-7.398033333,-78.77826667,13.6
396,Zonotrichia capensis,male,0,Bosque Cachil,2500,m,-7.398033333,-78.77826667,17.2
